Memory	DualRAM	-1	-	addrWidth,dataWidth,enables,type,clearpin,trigger,asyncread,readbehav,databus,label,labelfont,labelvisible,appearance
I/O	Button	1	OUT:1	facing,color,press,label,labelloc,labelfont,labelcolor,labelvisible,dummy
I/O	DipSwitch	-1	-	facing,label,labelloc,labelfont,labelcolor,labelvisible,number,dummy
I/O	Joystick	2	OUT:0,OUT:0	facing,bits,color,bg
I/O	Keyboard	5	IN:1,IN:1,IN:1,OUT:1,OUT:7	buflen,trigger
I/O	LED	1	IN:1	facing,color,offcolor,active,label,labelloc,labelfont,labelcolor,labelvisible,dummy
I/O	LedBar	-1	-	inputtype,matrixcols,matrixrows,selloc,color,offcolor,persist,dotshape,label,labelloc,labelfont,labelcolor,labelvisible,dummy
I/O	RGBLED	-1	-	facing,active,label,labelloc,labelfont,labelcolor,labelvisible,dummy
I/O	7-Segment Display	-1	-	color,offcolor,bg,active,decimalPoint,label,labelloc,labelfont,labelvisible,dummy
I/O	Hex Digit Display	-1	-	color,offcolor,bg,decimalPoint,label,labelloc,labelfont,labelvisible,dummy
I/O	DotMatrix	-1	-	inputtype,matrixcols,matrixrows,selloc,color,offcolor,persist,dotshape,label,labelloc,labelfont,labelcolor,labelvisible,dummy
I/O	TTY	4	IN:1,IN:1,IN:1,IN:7	rows,cols,trigger,color,bg
I/O	PortIO	-1	-	facing,label,labelloc,labelfont,labelcolor,labelvisible,number,direction,dummy
I/O	ReptarLB	10	OUT:1,OUT:1,OUT:1,OUT:1,IN:1,OUT:16,IN:16,IN:1,OUT:9,IN:1	label,dummy
I/O	Telnet	6	IN:8,OUT:8,IN:1,IN:1,IN:1,OUT:1	telnetMode,port,buflen,trigger,label,labelloc,labelfont
I/O	RGB Video	-1	?	cursor,reset,color,resolution,width,height,scale,dummy
TTL	7400	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	7402	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	7404	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	7408	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	7410	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	7411	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	7413	-1	-	facing,VccGndPorts,ShowInternalStructure,label
TTL	7414	-1	-	facing,VccGndPorts,ShowInternalStructure,label
