TOOL	FPArithmetic	FPNegator	Floating Point Negator	Floating Point Negator	com.cburch.logisim.std.arith.floating.FpNegator
TOOL	FPArithmetic	FPExponentiator	Floating Point Exponentiator	Floating Point Exponentiator	com.cburch.logisim.std.arith.floating.FpExponentiator
TOOL	FPArithmetic	FPLogarithm	Floating Point Logarithm	Floating Point Logarithm	com.cburch.logisim.std.arith.floating.FpLogarithm
TOOL	FPArithmetic	FPSquareRoot	Floating Point Square Root	Floating Point Square Root	com.cburch.logisim.std.arith.floating.FpSquareRoot
TOOL	FPArithmetic	FPAbsolute	Floating Point Absolute	Floating Point Absolute	com.cburch.logisim.std.arith.floating.FpAbsolute
TOOL	FPArithmetic	FPComparator	Floating Point Comparator	Floating Point Comparator	com.cburch.logisim.std.arith.floating.FpComparator
TOOL	FPArithmetic	FPMinMax	Floating Point Minimum and Maximum	Floating Point Minimum and Maximum	com.cburch.logisim.std.arith.floating.FpMinMax
TOOL	FPArithmetic	FPRound	Floating Point Round	Floating Point Round	com.cburch.logisim.std.arith.floating.FpRound
TOOL	FPArithmetic	FPTrigonometry	Floating Point Trigonometry	Floating Point Trigonometry	com.cburch.logisim.std.arith.floating.FpTrigonometry
TOOL	FPArithmetic	FPClassificator	Floating Point Classificator	Floating Point Classificator	com.cburch.logisim.std.arith.floating.FpClassificator
TOOL	FPArithmetic	FPToFP	Floating Point Converter	Floating Point Converter	com.cburch.logisim.std.arith.floating.FpToFp
TOOL	FPArithmetic	FPToInt	Floating Point to Integer	Floating Point to Integer	com.cburch.logisim.std.arith.floating.FpToInt
TOOL	FPArithmetic	IntToFP	Integer to Floating Point	Integer to Floating Point	com.cburch.logisim.std.arith.floating.IntToFp
LIB	Builtin	Memory	Memory
TOOL	Memory	D Flip-Flop	D Flip-Flop	D Flip-Flop	com.cburch.logisim.std.memory.DFlipFlop
TOOL	Memory	T Flip-Flop	T Flip-Flop	T Flip-Flop	com.cburch.logisim.std.memory.TFlipFlop
TOOL	Memory	J-K Flip-Flop	J-K Flip-Flop	J-K Flip-Flop	com.cburch.logisim.std.memory.JKFlipFlop
TOOL	Memory	S-R Flip-Flop	S-R Flip-Flop	S-R Flip-Flop	com.cburch.logisim.std.memory.SRFlipFlop
TOOL	Memory	Register	Register	Register	com.cburch.logisim.std.memory.Register
TOOL	Memory	Counter	Counter	Counter	com.cburch.logisim.std.memory.Counter
TOOL	Memory	Shift Register	Shift Register	Shift Register	com.cburch.logisim.std.memory.ShiftRegister
TOOL	Memory	Random	Random Generator	Random Generator	com.cburch.logisim.std.memory.Random
TOOL	Memory	RAM	RAM	RAM	com.cburch.logisim.std.memory.Ram
TOOL	Memory	ROM	ROM	ROM	com.cburch.logisim.std.memory.Rom
TOOL	Memory	DualRAM	Dual Port RAM	Dual Port RAM	com.cburch.logisim.std.memory.DualRam
LIB	Builtin	I/O	Input/Output
TOOL	I/O	Button	Button	Button	com.cburch.logisim.std.io.Button
TOOL	I/O	DipSwitch	Dip switch	DIP Switch	com.cburch.logisim.std.io.DipSwitch
TOOL	I/O	Joystick	Joystick	Joystick	com.cburch.logisim.std.io.Joystick
TOOL	I/O	Keyboard	Keyboard	Keyboard	com.cburch.logisim.std.io.Keyboard
TOOL	I/O	LED	LED	LED	com.cburch.logisim.std.io.Led
TOOL	I/O	LedBar	LED Bar	LED Bar	com.cburch.logisim.std.io.LedBar
TOOL	I/O	RGBLED	RGB LED	RGB LED	com.cburch.logisim.std.io.RgbLed
TOOL	I/O	7-Segment Display	7-Segment Display	7-Segment Display	com.cburch.logisim.std.io.SevenSegment
TOOL	I/O	Hex Digit Display	Hex Digit Display	Hex Digit Display	com.cburch.logisim.std.io.HexDigit
TOOL	I/O	DotMatrix	LED Matrix	LED Matrix	com.cburch.logisim.std.io.DotMatrix
TOOL	I/O	TTY	TTY	TTY	com.cburch.logisim.std.io.Tty
TOOL	I/O	PortIO	Port I/O	Port I/O	com.cburch.logisim.std.io.PortIo
TOOL	I/O	ReptarLB	Reptar Local Bus	Reptar Local Bus	com.cburch.logisim.std.io.ReptarLocalBus
TOOL	I/O	Telnet	Telnet	Telnet	com.cburch.logisim.std.io.Telnet
TOOL	I/O	RGB Video	RGB Video	RGB Video	com.cburch.logisim.std.io.Video$Factory
LIB	Builtin	TTL	TTL
TOOL	TTL	7400	7400: quad 2-input NAND gate	7400	com.cburch.logisim.std.ttl.Ttl7400
TOOL	TTL	7402	7402: quad 2-input NOR gate (right-to-left)	7402	com.cburch.logisim.std.ttl.Ttl7402
TOOL	TTL	7404	7404: hex inverter	7404	com.cburch.logisim.std.ttl.Ttl7404
TOOL	TTL	7408	7408: quad 2-input AND gate	7408	com.cburch.logisim.std.ttl.Ttl7408
TOOL	TTL	7410	7410: triple 3-input NAND gate	7410	com.cburch.logisim.std.ttl.Ttl7410
TOOL	TTL	7411	7411: triple 3-input AND gate	7411	com.cburch.logisim.std.ttl.Ttl7411
TOOL	TTL	7413	7413: dual 4-input NAND gate(Schmitt trigger)	7413	com.cburch.logisim.std.ttl.Ttl7413
TOOL	TTL	7414	7414: hex inverter (Schmitt trigger)	7414	com.cburch.logisim.std.ttl.Ttl7414
